mega_cd,mega_nm,cty_cd,cty_nm,from_nm,to_nm,from_cd,to_cd,change_date,reverse
41,경기도,4159,화성시,동탄면,동탄4동,41590420,41590588,20150102,1개에서1개추가생성
41,경기도,4159,화성시,동탄4동,동탄5동,41590588,41590590,20180122,1개에서2개추가생성
41,경기도,4159,화성시,동탄4동,동탄6동,41590588,41590600,20180122,1개에서2개추가생성
41,경기도,4159,화성시,동탄6동,동탄7동,41590600,41590610,20190701,1개에서1개추가생성
41,경기도,4159,화성시,동탄6동,동탄8동,41590600,41590620,20191021,1개에서1개추가생성
41,경기도,4159,화성시,남양읍,새솔동,41590262,41590515,20180122,1개에서1개추가생성
41,경기도,4159,화성시,남양동,남양읍,41590510,41590262,20141020,
41,경기도,4161,광주시,오포1동,오포읍,41610580,41610250,20220901,
41,경기도,4161,광주시,오포2동,오포읍,41610590,41610250,20220901,
41,경기도,4161,광주시,신현동,오포읍,41610600,41610250,20220901,
41,경기도,4161,광주시,능평동,오포읍,41610610,41610250,20220901,
41,경기도,4161,광주시,오포읍,오포1동,41610250,41610580,20220901,1개에서4개로분동.지도기준이후룰이라반대로변환
41,경기도,4161,광주시,오포읍,오포2동,41610250,41610590,20220901,1개에서4개로분동.지도기준이후룰이라반대로변환
41,경기도,4161,광주시,오포읍,신현동,41610250,41610600,20220901,1개에서4개로분동.지도기준이후룰이라반대로변환
41,경기도,4161,광주시,오포읍,능평동,41610250,41610610,20220901,1개에서4개로분동.지도기준이후룰이라반대로변환
41,경기도,4161,광주시,광남동,광남1동,41610530,41610560,20201201,1개에서2개로분동
41,경기도,4161,광주시,광남동,광남2동,41610530,41610570,20201201,1개에서2개로분동
41,경기도,4161,광주시,경안동,쌍령동,41610510,41610540,20201201,1개에서1개추가생성
41,경기도,4161,광주시,송정동,탄벌동,41610520,41610550,20201201,1개에서1개추가생성
41,경기도,4161,광주시,중부면,남한산성면,41610360,41610370,20151016,
41,경기도,4167,여주시,능서면,세종대왕면,41670340,41670345,20211231,
41,경기도,4182,가평군,하면,조종면,41820340,41820345,20151216,
42,강원도,4270,영월군,수주면,무릉도원면,42750370,42750380,20161117,
42,강원도,4270,영월군,중동면,산솔면,42750310,42750312,20211101,
42,강원도,4272,홍천군,동면,영귀미면,42720350,42720352,20210601,
42,강원도,4280,양구군,남면,국토정중앙면,42800310,42800315,20210101,
43,충청북도,4311,청주시,상당구 우암동,청원구 우암동,43111580,43114510,20140701,
43,충청북도,4311,청주시,상당구 내덕제1동,청원구 내덕1동,43111590,43114520,20140701,
43,충청북도,4311,청주시,상당구 내덕제2동,청원구 내덕2동,43111600,43114530,20140701,
43,충청북도,4311,청주시,상당구 율량.사천동,청원구 율량.사천동,43111610,43114540,20140701,
43,충청북도,4311,청주시,상당구 오근장동,청원구 오근장동,43111790,43114550,20140701,
43,충청북도,4311,청주시,흥덕구 사직제1동,서원구 사직1동,43113630,43112510,20140701,
43,충청북도,4311,청주시,흥덕구 사직제2동,서원구 사직2동,43113640,43112520,20140701,
